Timestamp,PWM,Distance_cm
54:06.212,29,0.0
54:06.254,29,0.0
54:06.307,29,0.0
54:06.360,29,0.0
54:06.403,29,1.0
54:06.458,29,0.0
54:06.510,29,0.0
54:06.553,29,0.0
54:06.608,29,0.0
54:06.660,29,0.0
54:06.703,29,0.0
54:06.756,29,0.0
54:06.809,29,0.0
54:06.862,29,0.0
54:06.905,29,0.0
54:06.959,29,0.0
54:07.011,29,0.0
54:07.054,29,0.0
54:07.107,29,0.0
54:07.159,29,0.0
54:07.212,29,0.0
54:07.254,29,0.0
54:07.307,29,0.0
54:07.359,29,0.0
54:07.413,29,0.0
54:07.455,29,0.0
54:07.509,29,0.0
54:07.553,29,0.0
54:07.605,29,0.0
54:07.658,29,0.0
54:07.712,29,0.0
54:07.756,29,0.0
54:07.809,29,1.0
54:07.862,29,0.0
54:07.904,29,0.0
54:07.958,29,1.0
54:08.011,29,0.0
54:08.063,29,0.0
54:08.105,29,0.0
54:08.158,29,0.0
54:08.210,29,0.0
54:08.262,29,0.0
54:08.304,29,0.0
54:08.356,29,0.0
54:08.409,29,0.0
54:08.462,29,1.0
54:08.504,29,0.0
54:08.558,29,0.0
54:08.613,29,0.0
54:08.656,29,0.0
54:08.708,29,1.0
54:08.762,29,1.0
54:08.814,29,1.0
54:08.858,29,2.0
54:08.911,29,3.0
54:08.964,29,3.0
54:09.007,29,3.0
54:09.059,29,4.0
54:09.111,29,4.0
54:09.165,29,4.0
54:09.206,29,5.0
54:09.259,29,7.0
54:09.312,29,7.0
54:09.354,29,8.0
54:09.407,29,9.0
54:09.458,29,10.0
54:09.512,29,12.0
54:09.554,29,13.0
54:09.606,29,14.0
54:09.659,29,17.0
54:09.713,29,17.0
54:09.755,29,19.0
54:09.809,29,20.0
54:09.861,29,19.0
54:09.904,29,19.0
54:09.957,29,20.0
54:10.010,29,19.0
54:10.053,29,19.0
54:10.106,29,19.0
54:10.160,29,19.0
54:10.202,29,20.0
54:10.257,29,19.0
54:10.310,29,19.0
54:10.363,29,20.0
54:10.405,29,20.0
54:10.458,29,19.0
54:10.512,29,19.0
54:10.555,29,19.0
54:10.608,29,20.0
54:10.661,29,20.0
54:10.704,29,20.0
54:10.757,29,20.0
54:10.810,29,19.0
54:10.863,29,19.0
54:10.906,29,19.0
54:10.959,29,19.0
54:11.012,29,18.0
54:11.055,29,17.0
54:11.109,29,17.0
54:11.161,29,19.0
54:11.205,29,19.0
54:11.257,29,18.0
54:11.309,29,19.0
54:11.362,29,20.0
54:11.405,29,20.0
54:11.458,29,20.0
54:11.512,29,20.0
54:11.556,29,20.0
54:11.612,29,19.0
54:11.655,29,19.0
54:11.708,29,20.0
54:11.761,29,20.0
54:11.805,29,19.0
54:11.858,29,19.0
54:11.911,29,20.0
54:11.954,29,19.0
54:12.008,29,20.0
54:12.061,29,19.0
54:12.113,29,20.0
54:12.157,29,20.0
54:12.209,29,20.0
54:12.263,29,20.0
54:12.305,29,19.0
54:12.358,29,19.0
54:12.411,29,20.0
54:12.454,29,19.0
54:12.507,29,20.0
54:12.560,29,19.0
54:12.604,29,19.0
54:12.656,29,20.0
54:12.709,29,19.0
54:12.763,29,19.0
54:12.805,29,19.0
54:12.858,29,19.0
54:12.911,29,20.0
54:12.954,29,20.0
54:13.008,29,20.0
54:13.060,29,20.0
54:13.112,29,19.0
54:13.155,29,19.0
54:13.208,29,20.0
54:13.261,29,19.0
54:13.315,29,19.0
54:13.357,29,19.0
54:13.410,29,19.0
54:13.464,29,19.0
54:13.509,29,19.0
54:13.562,29,19.0
54:13.607,29,19.0
54:13.661,29,20.0
54:13.713,29,19.0
54:13.756,29,19.0
54:13.809,29,20.0
54:13.863,29,19.0
54:13.906,29,20.0
54:13.959,29,20.0
54:14.012,29,19.0
54:14.065,29,20.0
54:14.107,29,20.0
54:14.161,29,19.0
54:14.214,29,20.0
54:14.257,29,20.0
54:14.310,29,19.0
